Label,area_0,area_1,area_2,area_3,area_4
1,175.5,126,131,8902.5,0
1,222,9847.5,0,0,0
1,179.5,256.5,12413,0,0
1,18,187.5,9306.5,0,0
1,142.5,156.5,6669.5,0,0
1,138.5,11861.5,0,0,0
1,152,10117,0,0,0
1,71,108,15554,0,0
1,10340,0,0,0,0
1,121,14125,0,0,0
1,62,16.5,11089.5,0,0
1,20,11977.5,0,0,0
1,24,255.5,15,14765,0
1,323.5,10981,0,0,0
1,238.5,12020.5,0,0,0
1,169,180,15965,0,0
1,0,5.5,3210,8690,0
1,12119,0,0,0,0
1,298.5,14208,0,0,0
1,10270.5,0,0,0,0
1,322.5,12079.5,0,0,0
1,154.5,15882.5,0,0,0
1,5177,9470,0,0,0
1,20.5,13677,0,0,0
1,235,60,21.5,14438.5,0
1,12133,0,0,0,0
1,205,12621.5,0,0,0
1,86.5,21.5,11,31,279.5
1,10053,0,0,0,0
1,15512,0,0,0,0
1,246.5,11868.5,0,0,0
1,104,11844.5,0,0,0
1,2820.5,2.5,7099.5,0,0
1,50,48,15570.5,0,0
1,16.5,253,28.5,6575,0
1,192.5,14941.5,0,0,0
1,15,194,14111.5,0,0
1,62.5,41,44,55,32
1,2,89,12135.5,0,0
1,464.5,10744.5,0,0,0
1,316.5,299,10957,0,0
1,193,13735,0,0,0
1,8856.5,0,0,0,0
1,10,132,12.5,259.5,12990.5
1,256.5,5.5,18396,0,0
1,123.5,35.5,9967,0,0
1,21,7,39,10420,0
1,156,11394,0,0,0
1,261,10485,0,0,0
1,22.5,214.5,10747,0,0
1,45,132,8908.5,0,0
1,19.5,288,120,14772,0
1,33.5,15,130,13200.5,0
1,89,66.5,10638,0,0
1,46,112,13043,0,0
1,122,11143,0,0,0
1,80.5,22.5,18624.5,0,0
1,275.5,11070.5,0,0,0
1,399.5,72,8068.5,0,0
1,192,11128.5,0,0,0
1,222,14806.5,0,0,0
1,55.5,91.5,14267.5,0,0
1,11741,0,0,0,0
1,199.5,170.5,0,1801,25
1,2,108,63.5,77.5,11065
1,207.5,8008,0,0,0
1,290,11788,0,0,0
1,108,11369.5,0,0,0
1,16163,0,0,0,0
1,11153.5,0,0,0,0
1,73.5,110,13010,0,0
1,123,14173.5,0,0,0
1,114.5,10,92,210.5,16187
1,7897.5,0,0,0,0
1,74,20,10498.5,0,0
1,130,9646,0,0,0
1,9435.5,0,0,0,0
1,2,16256,0,0,0
1,1.5,1,0,48.5,0.5
1,508,11644,0,0,0
1,143,12297.5,0,0,0
1,225.5,15360.5,0,0,0
1,184.5,10297,0,0,0
1,98,8.5,13866,0,0
1,398.5,14069,0,0,0
1,152.5,11744,0,0,0
1,133.5,13391,0,0,0
1,1148.5,173.5,318.5,1275,1102.5
1,176,10926,0,0,0
1,77.5,35.5,13.5,132,2
1,80,163.5,9806.5,0,0
1,123,11718,0,0,0
1,52.5,23.5,10409,0,0
1,217,0,49,62,0
1,12250.5,0,0,0,0
1,161,43,9531,0,0
1,9958.5,0,0,0,0
1,113,11858.5,0,0,0
1,500,9490.5,0,0,0
1,866,12839,0,0,0
1,162,13843,0,0,0
1,8.5,136,19091,0,0
1,139.5,15859,0,0,0
1,177.5,46,10445.5,0,0
1,23,146,14346,0,0
1,142,15765.5,0,0,0
1,11252.5,0,0,0,0
1,62,12628.5,0,0,0
1,10619.5,0,0,0,0
1,273,10612,0,0,0
1,42.5,45,11480.5,0,0
1,630,9318,0,0,0
1,35.5,189,377,9640.5,0
1,107.5,10751.5,0,0,0
1,145.5,13306.5,0,0,0
1,155,14084.5,0,0,0
1,22,25.5,382,27.5,10555.5
1,99,72.5,16033,0,0
1,28.5,0,9695.5,0,0
1,189.5,13439.5,0,0,0
1,49.5,319.5,11895,0,0
1,97.5,7,15,119,199.5
1,145,12598.5,0,0,0
1,12052,0,0,0,0
1,2,197.5,15167.5,0,0
1,441.5,4887.5,10228.5,0,0
1,126,15994,0,0,0
1,190,12.5,9955.5,0,0
1,55,189,10191,0,0
1,135.5,14175.5,0,0,0
1,130,12.5,184.5,10031.5,0
1,76,43.5,57.5,15234.5,0
1,186,208,9054,0,0
1,82.5,22.5,15.5,92.5,11300
1,129,82.5,17241,0,0
1,7698,0,0,0,0
1,121,15501,0,0,0
1,40.5,184,14563,0,0
1,330,7,8280.5,0,0
1,101.5,14503.5,0,0,0
1,8123,0,0,0,0
1,8.5,292,10632,0,0
1,121.5,11212.5,0,0,0
1,64.5,220.5,9258.5,0,0
1,46,58,14301,0,0
1,114.5,14842,0,0,0
1,123,20.5,37.5,5,2773.5
1,261,11984.5,0,0,0
1,31,200,11465.5,0,0
1,85.5,2087.5,0,0,0
1,236.5,94.5,5.5,126.5,43.5
1,106,8957,0,0,0
1,126.5,61,16089.5,0,0
1,11468,0,0,0,0
1,27.5,79,8593,0,0
1,11431,0,0,0,0
1,108.5,12486.5,0,0,0
1,19217,0,0,0,0
1,182.5,14,14503.5,0,0
1,70,144,15899.5,0,0
1,251.5,9644.5,0,0,0
1,73.5,101.5,0,140,17.5
1,24,93.5,47.5,0,0
1,141,15097,0,0,0
1,1.5,1.5,0.5,11.5,4.5
1,115,13133,0,0,0
1,279.5,10006.5,0,0,0
1,179.5,10750,0,0,0
1,70.5,83.5,14080.5,0,0
1,157,12825.5,0,0,0
1,196.5,8.5,60.5,13.5,10
1,117,6,66,10280,0
1,176,9544.5,0,0,0
1,136,11620,0,0,0
1,168,161,24,13425.5,0
1,32,75,408,50,10219.5
1,134,15168,0,0,0
1,89.5,13788,0,0,0
1,7143,0,0,0,0
1,93.5,17043.5,0,0,0
1,160.5,105.5,2,14535.5,0
1,50,95.5,14312.5,0,0
1,90.5,4,48,42.5,443.5
1,25.5,31,2,10865.5,0
1,339,13603.5,0,0,0
1,464,6961,9153,0,0
1,4,16.5,13778,0,0
1,218,28.5,14318.5,0,0
1,50,12904.5,0,0,0
1,20,8.5,144.5,11,86
1,181,8943.5,0,0,0
1,70.5,16629,0,0,0
1,129.5,13789.5,0,0,0
1,347,7,16.5,13038.5,0
1,14440,0,0,0,0
1,85.5,14379.5,0,0,0
1,225,14264,0,0,0
1,0,2.5,19.5,5.5,1144.5
1,191.5,11904,0,0,0
1,115,128.5,14717.5,0,0
1,229.5,12426,0,0,0
1,171.5,13392.5,0,0,0
1,148.5,13563,0,0,0
1,37,166.5,7960.5,0,0
1,145,11958,0,0,0
1,138.5,397.5,14609,0,0
1,148,76.5,14716,0,0
1,373.5,13335.5,0,0,0
1,308,10804,0,0,0
1,8917.5,0,0,0,0
1,34,139,11906.5,0,0
1,178,171.5,368,22.5,4726.5
1,113.5,21271,0,0,0
1,116.5,80,16852,0,0
1,212,40,15,11501,0
1,10,40.5,12.5,70,828
1,39,12944.5,0,0,0
1,123.5,94.5,15757,0,0
1,6128.5,0,0,0,0
1,192,4,16649.5,0,0
1,121.5,14787.5,0,0,0
1,11899,0,0,0,0
1,253.5,119.5,4,6709,0
1,236,10348.5,0,0,0
1,4692.5,0,0,0,0
1,47.5,749,12297,0,0
1,94,573.5,5.5,10320.5,0
1,252,16683.5,0,0,0
1,22.5,7,32.5,216.5,14783.5
1,5.5,83,60,95.5,11365.5
1,11,10764.5,0,0,0
1,97,11111,0,0,0
1,15130,0,0,0,0
1,144.5,15736,0,0,0
1,12546.5,0,0,0,0
1,198,13498.5,0,0,0
1,77,15750.5,0,0,0
1,323.5,9.5,1,0.5,11
1,138.5,16347.5,0,0,0
1,153.5,103,16380.5,0,0
1,61.5,83,122,14745.5,0
1,849.5,14980,0,0,0
1,347,0,229,15,0
1,43,5.5,0,0,0
1,163.5,7366.5,0,0,0
1,147.5,13642.5,0,0,0
1,11,28.5,277.5,15911,0
1,96,9344,0,0,0
1,148,38,291.5,11401,0
1,157.5,10565,0,0,0
1,131.5,11531.5,0,0,0
1,17.5,2,5.5,4,11
1,2.5,3104.5,0,0,0
1,18.5,100.5,11409,0,0
1,113.5,10767,0,0,0
1,478,3029.5,10073,0,0
1,231,620,96.5,246,31
1,165,5290,10543,0,0
1,23.5,1.5,7654,0,0
1,184.5,15431,0,0,0
1,94.5,16720,0,0,0
1,88.5,118.5,11515,0,0
1,181.5,8187,0,0,0
1,167.5,58,10495,0,0
1,316,7865.5,0,0,0
1,306.5,189,203.5,13223.5,0
1,158,22.5,142,128,12769
1,122.5,13345,7,0,0
1,191,413.5,8840.5,0,0
1,157,208,12778.5,0,0
1,4,70.5,20,171.5,41
1,10,213,10420.5,0,0
1,39.5,8666,0,0,0
1,20,287.5,7716.5,0,0
1,190.5,234,14458,0,0
1,38,313.5,11630,0,0
1,274.5,12426,0,0,0
1,15435.5,0,0,0,0
1,10050,0,0,0,0
1,122,17219.5,0,0,0
1,193.5,70.5,14,225.5,44.5
1,164.5,22.5,15,17755.5,0
1,9536.5,0,0,0,0
1,173.5,39.5,9299.5,0,0
1,11.5,42,11554.5,0,0
1,259,12586,0,0,0
1,21.5,236,12190,0,0
1,119.5,10218,0,0,0
1,251.5,12480.5,0,0,0
1,11872,0,0,0,0
1,2,46.5,42.5,14,64
1,200,8282.5,0,0,0
1,209.5,15191,0,0,0
1,135.5,12763.5,0,0,0
1,89.5,13974,0,0,0
1,45,311,217,49,8773
1,201.5,4763,0,0,0
1,102,89.5,13123.5,0,0
1,81,2,13969.5,0,0
1,0,1214,0,1093,5
1,28.5,8937,0,0,0
1,173,15291.5,0,0,0
1,21,5.5,43.5,270.5,14555
1,322.5,17.5,40.5,0,4
1,84.5,7.5,72.5,14080,0
1,172.5,13987.5,0,0,0
1,33.5,53,46.5,40.5,144.5
1,259,15828.5,0,0,0
1,44,214.5,7731,0,0
1,97,0,0,6631,11627
1,12.5,6,168,285.5,16294
1,184,15667.5,0,0,0
1,94,136,14661,0,0
1,148.5,11777,0,0,0
1,67,98,12957.5,0,0
1,19.5,214,9985.5,0,0
1,146,11480.5,0,0,0
1,77.5,12929,0,0,0
1,0,77,12560.5,0,0
1,74.5,9695,0,0,0
1,176,33,171.5,71.5,133.5
1,201,12934,0,0,0
1,128,23145.5,0,0,0
1,129,9162.5,0,0,0
1,83.5,15647,0,0,0
1,12.5,320.5,25,111.5,809
1,16618.5,0,0,0,0
1,352.5,4,105.5,225.5,231.5
1,57,14925,0,0,0
1,2,47.5,0,19,54
1,9.5,2,9396.5,0,0
1,42.5,11081.5,0,0,0
1,2,10,0,29,7.5
1,397,14726.5,0,0,0
1,173,10944,0,0,0
1,6,249.5,285,14588,0
1,39,151.5,136.5,15840,0
1,8.5,83.5,9666,0,0
1,169.5,12008.5,0,0,0
1,173.5,8,13796,0,0
1,195,12670,0,0,0
1,173,13076,0,0,0
1,14661.5,0,0,0,0
1,188.5,3342,0,0,0
1,145.5,14872,0,0,0
1,11,359,16129,0,0
1,4,12.5,29.5,182,31
1,226,20627,0,0,0
1,64.5,12.5,14157.5,0,0
1,8899.5,0,0,0,0
1,161.5,66,16723.5,0,0
1,168,345.5,361.5,16,0
1,344,39.5,13941,0,0
1,233,29.5,12288.5,0,0
1,407.5,10466.5,0,0,0
1,7894,0,0,0,0
1,416,9888,0,0,0
1,142.5,44,14218.5,0,0
1,663.5,2,11552.5,0,0
1,14705,0,0,0,0
1,155.5,9740,0,0,0
1,195,14350.5,0,0,0
1,143,18578.5,0,0,0
1,77,6518,0,0,0
1,55,130,7086,0,0
1,140,15169,0,0,0
1,1.5,43.5,21925.5,0,0
1,140,132.5,4,27,8415.5
1,14835,0,0,0,0
1,19,6567,10264,0,0
1,103,14843,0,0,0
1,137.5,10373.5,0,0,0
1,53.5,11989,0,0,0
1,191,12498.5,0,0,0
1,11.5,30,282,11099,0
1,44,3202.5,5720,0,0
1,0,2,4354.5,10100.5,0
1,368,16834.5,0,0,0
1,158.5,422,15,43.5,5.5
1,237.5,11818,0,0,0
1,11238,0,0,0,0
1,21,287.5,13158,0,0
1,270,16071.5,0,0,0
1,115.5,132,9110.5,0,0
1,197,15973,0,0,0
1,201.5,11627,0,0,0
1,185.5,35,121.5,24,107.5
1,164.5,10640,0,0,0
1,142,17038,0,0,0
1,223,18657.5,0,0,0
1,163.5,117,7367,0,0
1,27,12290,0,0,0
1,147.5,13024,0,0,0
1,83.5,25.5,5757.5,0,0
1,448,13929,0,0,0
1,22,1170.5,566,1432.5,172.5
1,0,8.5,5.5,7,3.5
1,6,651.5,0,0,113.5
1,170,17794.5,0,0,0
1,180.5,15793,0,0,0
1,9359.5,0,0,0,0
1,145,52,26.5,13381.5,0
1,204,16280,0,0,0
1,52.5,13887,0,0,0
1,12205.5,0,0,0,0
1,9.5,49,25,178.5,46.5
1,230,12586,0,0,0
1,39,77,166.5,15797,0
1,150,80,11945,0,0
